experiment,subject,echo_idx,mean_abs_resid,mse
net1_3echo_bias_corrected,sub-21215,3,0.029899852633180235,0.0015643621974487357
net1_3echo_bias_corrected,sub-21252,1,0.030989660022726684,0.0018527207710935215
net1_3echo_bias_corrected,sub-21252,2,0.023283310854961877,0.0011780606303351412
net1_3echo_bias_corrected,sub-21252,3,0.02740183195508592,0.0015867500457770515
net1_3echo_bias_corrected,sub-21253,1,0.031271486869248646,0.0017713961406346042
net1_3echo_bias_corrected,sub-21253,2,0.030175564835497607,0.0018952449895197785
net1_3echo_bias_corrected,sub-21253,3,0.028878273876777532,0.0015226727146664318
net1_3echo_bias_corrected,sub-21254,1,0.030799496709098925,0.0017999488106636033
net1_3echo_bias_corrected,sub-21254,2,0.027106215641399135,0.0016246496408903726
net1_3echo_bias_corrected,sub-21254,3,0.027189671674563272,0.001502549258054985
net1_3echo_bias_corrected,sub-21256,1,0.028090527011103268,0.0014690353194485634
net1_3echo_bias_corrected,sub-21256,2,0.026967341467266943,0.0015793067374429515
net1_3echo_bias_corrected,sub-21256,3,0.026477446779017113,0.0013129005648143408
net1_3echo_bias_corrected,sub-21260,1,0.031240407445070218,0.0018448398124232908
net1_3echo_bias_corrected,sub-21260,2,0.028852725125774335,0.0017464215379867044
net1_3echo_bias_corrected,sub-21260,3,0.029130984630557334,0.0016023888049512705
net1_3echo_bias_corrected,sub-21261,1,0.03206273273642506,0.0019070156092242181
net1_3echo_bias_corrected,sub-21261,2,0.02688532102943737,0.0015532316739914815
net1_3echo_bias_corrected,sub-21261,3,0.026645100405931793,0.0014441048736022275
net1_3echo_bias_corrected,sub-21262,1,0.027350269613640166,0.0014527351613366287
net1_3echo_bias_corrected,sub-21262,2,0.025966448867067345,0.001479521205329043
net1_3echo_bias_corrected,sub-21262,3,0.027696311779342984,0.0014031604785457626
net1_3echo_bias_corrected,sub-21270,1,0.03333542018691503,0.0020398803712178074
net1_3echo_bias_corrected,sub-21270,2,0.032486939259933546,0.0022003394925509804
net1_3echo_bias_corrected,sub-21270,3,0.0304928784503371,0.0017376265561444267
net1_3echo_bias_corrected,sub-21273,1,0.027742125056799273,0.0014561689279465834
net1_3echo_bias_corrected,sub-21273,2,0.024971368614396788,0.0013346200526963
net1_3echo_bias_corrected,sub-21273,3,0.026898968650637605,0.0012937299795097734
net1_3echo_bias_corrected,sub-21277,1,0.03245730197312157,0.002026981168882132
net1_3echo_bias_corrected,sub-21277,2,0.027996293572618337,0.0017263008455897242
net1_3echo_bias_corrected,sub-21277,3,0.028010112196727582,0.0016549352848041618
net1_3echo_bias_corrected,sub-21279,1,0.03251603060740631,0.0019457383627952182
net1_3echo_bias_corrected,sub-21279,2,0.03189418452018481,0.002140373981690875
net1_3echo_bias_corrected,sub-21279,3,0.029142510462354547,0.0016141039250186443
net1_3echo_bias_corrected,sub-21281,1,0.030518590265928507,0.0017115587018356718
net1_3echo_bias_corrected,sub-21281,2,0.02802068126177749,0.001637741490022753
net1_3echo_bias_corrected,sub-21281,3,0.027329467272052686,0.0014180445709758933
net1_3echo_bias_corrected,sub-21283,1,0.029572191250569604,0.0016714775406517976
net1_3echo_bias_corrected,sub-21283,2,0.02552953516175726,0.0013550949198226267
net1_3echo_bias_corrected,sub-21283,3,0.027726151927966305,0.0014788780009410557
net1_3echo_bias_corrected,sub-21300,1,0.030780213882509396,0.0018944209910798262
net1_3echo_bias_corrected,sub-21300,2,0.025430255930952893,0.0014333304742641497
net1_3echo_bias_corrected,sub-21300,3,0.027737339520486372,0.0016319538377402936
net1_3echo_bias_corrected,sub-21302,1,0.030629423486432224,0.0018489505841860435
net1_3echo_bias_corrected,sub-21302,2,0.027108579141326417,0.0015708341507832864
net1_3echo_bias_corrected,sub-21302,3,0.027394937428971755,0.0015032151401524717
